date,hour,energy_kWh
2017-11-01,00,0.11
2017-11-01,01,0.1
2017-11-01,02,0.11
2017-11-01,03,0.1
2017-11-01,04,0.12
2017-11-01,05,0.1
2017-11-01,06,0.1
2017-11-01,07,0.27
2017-11-01,08,0.36
2017-11-01,09,0.1
2017-11-01,10,0.11
2017-11-01,11,0.09
2017-11-01,12,0.1
2017-11-01,13,0.1
2017-11-01,14,0.09
2017-11-01,15,0.13
2017-11-01,16,0.09
2017-11-01,17,0.13
2017-11-01,18,0.16
2017-11-01,19,0.37
2017-11-01,20,0.47
2017-11-01,21,0.42
2017-11-01,22,1
2017-11-01,23,0.52
2017-11-02,00,0.12
2017-11-02,01,0.09
2017-11-02,02,0.11
2017-11-02,03,0.09
2017-11-02,04,0.1
2017-11-02,05,0.1
2017-11-02,06,0.09
2017-11-02,07,0.2
2017-11-02,08,0.29
2017-11-02,09,0.18
2017-11-02,10,0.12
2017-11-02,11,0.21
2017-11-02,12,0.31
2017-11-02,13,0.29
2017-11-02,14,0.13
2017-11-02,15,0.1
2017-11-02,16,0.13
2017-11-02,17,0.11
2017-11-02,18,1.69
2017-11-02,19,0.44
2017-11-02,20,0.33
2017-11-02,21,0.5
2017-11-02,22,0.44
2017-11-02,23,0.29
2017-11-03,00,0.28
2017-11-03,01,0.31
2017-11-03,02,0.28
2017-11-03,03,0.29
2017-11-03,04,0.42
2017-11-03,05,0.34
2017-11-03,06,0.27
2017-11-03,07,0.29
2017-11-03,08,0.17
2017-11-03,09,0.14
2017-11-03,10,0.41
2017-11-03,11,0.5
2017-11-03,12,0.75
2017-11-03,13,0.17
2017-11-03,14,0.08
2017-11-03,15,0.25
2017-11-03,16,0.39
2017-11-03,17,0.74
2017-11-03,18,0.4
2017-11-03,19,0.36
2017-11-03,20,0.43
2017-11-03,21,0.48
2017-11-03,22,0.43
2017-11-03,23,0.25
2017-11-04,00,0.11
2017-11-04,01,0.27
2017-11-04,02,0.3
2017-11-04,03,0.2
2017-11-04,04,0.19
2017-11-04,05,0.23
2017-11-04,06,0.13
2017-11-04,07,0.22
2017-11-04,08,0.1
2017-11-04,09,0.4
2017-11-04,10,0.61
2017-11-04,11,0.32
2017-11-04,12,1.04
2017-11-04,13,0.53
2017-11-04,14,0.25
2017-11-04,15,0.26
2017-11-04,16,0.51
2017-11-04,17,0.5
2017-11-04,18,0.34
2017-11-04,19,1.28
2017-11-04,20,0.39
2017-11-04,21,0.39
2017-11-04,22,0.41
2017-11-04,23,0.23
2017-11-05,00,0.11
2017-11-05,01,0.27
2017-11-05,02,0.21
2017-11-05,03,0.16
2017-11-05,04,0.34
2017-11-05,05,0.27
2017-11-05,06,0.1
2017-11-05,07,0.14
2017-11-05,08,0.15
2017-11-05,09,0.24
2017-11-05,10,0.41
2017-11-05,11,0.35
2017-11-05,12,0.23
2017-11-05,13,0.11
2017-11-05,14,0.11
2017-11-05,15,0.09
2017-11-05,16,0.1
2017-11-05,17,0.09
2017-11-05,18,0.09
2017-11-05,19,0.24
2017-11-05,20,0.19
2017-11-05,21,0.44
2017-11-05,22,0.4
2017-11-05,23,0.25
2017-11-06,00,0.25
2017-11-06,01,0.26
2017-11-06,02,0.25
2017-11-06,03,0.27
2017-11-06,04,0.32
2017-11-06,05,0.26
2017-11-06,06,0.17
2017-11-06,07,0.08
2017-11-06,08,0.25
2017-11-06,09,0.36
2017-11-06,10,0.38
2017-11-06,11,0.21
2017-11-06,12,0.41
2017-11-06,13,0.2
2017-11-06,14,0.19
2017-11-06,15,0.17
2017-11-06,16,0.7
2017-11-06,17,1.57
2017-11-06,18,0.73
2017-11-06,19,0.31
2017-11-06,20,0.34
2017-11-06,21,0.48
2017-11-06,22,0.43
2017-11-06,23,0.12
2017-11-07,00,0.18
2017-11-07,01,0.25
2017-11-07,02,0.21
2017-11-07,03,0.12
2017-11-07,04,0.23
2017-11-07,05,0.23
2017-11-07,06,0.1
2017-11-07,07,0.16
2017-11-07,08,0.29
