date,hour,dc_output,ac_output
000-01-01,0,0,0
000-01-01,1,0,0
000-01-01,2,0,0
000-01-01,3,0,0
000-01-01,4,0,0
000-01-01,5,0,0
000-01-01,6,0,0
000-01-01,7,0,0
000-01-01,8,178.283,152.678
000-01-01,9,1055.061,1009.08
000-01-01,10,373.525,343.95
000-01-01,11,373.899,344.316
000-01-01,12,1342.524,1288.437
000-01-01,13,136.304,111.511
000-01-01,14,114.374,89.999
000-01-01,15,556.766,523.17
000-01-01,16,0,0
000-01-01,17,0,0
000-01-01,18,0,0
000-01-01,19,0,0
000-01-01,20,0,0
000-01-01,21,0,0
000-01-01,22,0,0
000-01-01,23,0,0
000-01-02,0,0,0
000-01-02,1,0,0
000-01-02,2,0,0
000-01-02,3,0,0
000-01-02,4,0,0
000-01-02,5,0,0
000-01-02,6,0,0
000-01-02,7,0,0
000-01-02,8,481.429,449.52
000-01-02,9,1465.946,1408.163
000-01-02,10,2090.705,2012.219
000-01-02,11,2325.483,2238.357
000-01-02,12,2384.129,2294.772
000-01-02,13,2200.382,2117.918
000-01-02,14,1708.763,1643.329
000-01-02,15,898.24,856.385
000-01-02,16,0,0
000-01-02,17,0,0
000-01-02,18,0,0
000-01-02,19,0,0
000-01-02,20,0,0
000-01-02,21,0,0
000-01-02,22,0,0
000-01-02,23,0,0
000-01-03,0,0,0
000-01-03,1,0,0
000-01-03,2,0,0
000-01-03,3,0,0
000-01-03,4,0,0
000-01-03,5,0,0
000-01-03,6,0,0
000-01-03,7,0,0
000-01-03,8,517.771,485.055
000-01-03,9,1479.811,1421.604
000-01-03,10,2180.923,2099.172
000-01-03,11,2459.423,2367.157
000-01-03,12,2502.365,2408.42
000-01-03,13,2367.401,2278.684
000-01-03,14,1804.607,1736.015
000-01-03,15,1057.289,1011.249
000-01-03,16,0,0
000-01-03,17,0,0
000-01-03,18,0,0
000-01-03,19,0,0
000-01-03,20,0,0
000-01-03,21,0,0
000-01-03,22,0,0
000-01-03,23,0,0
000-01-04,0,0,0
000-01-04,1,0,0
000-01-04,2,0,0
000-01-04,3,0,0
000-01-04,4,0,0
000-01-04,5,0,0
000-01-04,6,0,0
000-01-04,7,0,0
000-01-04,8,494.439,462.243
000-01-04,9,1309.729,1256.603
000-01-04,10,2148.477,2067.908
000-01-04,11,2547.817,2452.077
000-01-04,12,2542.289,2446.768
000-01-04,13,2276.667,2191.376
000-01-04,14,1708.913,1643.473
000-01-04,15,962.609,919.086
000-01-04,16,58.76,35.426
000-01-04,17,0,0
000-01-04,18,0,0
000-01-04,19,0,0
000-01-04,20,0,0
000-01-04,21,0,0
000-01-04,22,0,0
000-01-04,23,0,0
000-01-05,0,0,0
000-01-05,1,0,0
000-01-05,2,0,0
000-01-05,3,0,0
000-01-05,4,0,0
000-01-05,5,0,0
000-01-05,6,0,0
000-01-05,7,0,0
000-01-05,8,537.073,503.922
000-01-05,9,1516.113,1456.79
000-01-05,10,2107.195,2028.117
000-01-05,11,2413.992,2323.488
000-01-05,12,2469.108,2376.465
000-01-05,13,2196.466,2114.146
000-01-05,14,1529.393,1469.659
000-01-05,15,1074.468,1027.962
000-01-05,16,77.207,53.53
000-01-05,17,0,0
000-01-05,18,0,0
000-01-05,19,0,0
000-01-05,20,0,0
000-01-05,21,0,0
000-01-05,22,0,0
000-01-05,23,0,0
000-01-06,0,0,0
000-01-06,1,0,0
000-01-06,2,0,0
000-01-06,3,0,0
000-01-06,4,0,0
000-01-06,5,0,0
000-01-06,6,0,0
000-01-06,7,0,0
000-01-06,8,47.615,24.486
000-01-06,9,218.744,192.343
000-01-06,10,273.17,245.676
000-01-06,11,300.077,272.034
000-01-06,12,276.684,249.119
000-01-06,13,264.848,237.523
000-01-06,14,142.5,117.588
000-01-06,15,219.093,192.685
000-01-06,16,0,0
000-01-06,17,0,0
000-01-06,18,0,0
000-01-06,19,0,0
000-01-06,20,0,0
000-01-06,21,0,0
000-01-06,22,0,0
000-01-06,23,0,0
000-01-07,0,0,0
000-01-07,1,0,0
000-01-07,2,0,0
000-01-07,3,0,0
