date,hour,temperature,humidity,pressure,weather
2015-01-01,01,0.7,88,102.31,
2015-01-01,02,1.0,88,102.26,
2015-01-01,03,0.7,90,102.22,
2015-01-01,04,0.6,90,102.18,
2015-01-01,05,-0.4,91,102.11,
2015-01-01,06,-1.0,92,102.05,
2015-01-01,07,0.2,91,102.03,
2015-01-01,08,0.3,92,101.96,
2015-01-01,09,-0.1,91,101.96,
2015-01-01,10,0.4,89,101.97,
2015-01-01,11,2.2,84,101.97,
2015-01-01,12,2.9,81,101.95,
2015-01-01,13,3.1,78,101.89,
2015-01-01,14,4.5,72,101.82,
2015-01-01,15,3.9,74,101.76,
2015-01-01,16,3.2,76,101.76,
2015-01-01,17,2.7,80,101.76,
2015-01-01,18,1.6,86,101.71,
2015-01-01,19,-0.4,90,101.70,
2015-01-01,20,-0.9,92,101.64,
2015-01-01,21,0.4,94,101.62,
2015-01-01,22,0.6,94,101.59,
2015-01-01,23,0.7,92,101.58,
2015-01-01,24,0.6,93,101.57,
2015-01-02,01,1.6,94,101.52,
2015-01-02,02,1.5,93,101.50,
2015-01-02,03,2.0,93,101.39,
2015-01-02,04,2.6,90,101.38,
2015-01-02,05,2.4,91,101.30,
2015-01-02,06,2.8,90,101.29,
2015-01-02,07,3.9,88,101.21,
2015-01-02,08,4.3,87,101.24,
2015-01-02,09,3.2,86,101.22,
2015-01-02,10,3.0,89,101.24,
2015-01-02,11,3.8,88,101.21,
2015-01-02,12,4.5,91,101.16,
2015-01-02,13,5.5,89,101.08,
2015-01-02,14,5.3,88,101.04,
2015-01-02,15,4.6,91,101.04,
2015-01-02,16,4.3,91,101.12,
2015-01-02,17,4.2,93,101.15,
2015-01-02,18,4.0,93,101.20,
2015-01-02,19,3.7,93,101.25,
2015-01-02,20,3.6,94,101.30,
2015-01-02,21,3.1,94,101.37,
2015-01-02,22,2.8,94,101.43,
2015-01-02,23,3.5,92,101.49,
2015-01-02,24,2.8,93,101.56,
2015-01-03,01,3.0,93,101.59,
2015-01-03,02,2.4,94,101.63,
2015-01-03,03,1.6,94,101.67,
2015-01-03,04,1.9,95,101.72,
2015-01-03,05,1.2,95,101.68,
2015-01-03,06,1.8,95,101.69,
2015-01-03,07,3.5,95,101.71,
2015-01-03,08,3.3,95,101.68,
2015-01-03,09,3.5,94,101.72,
2015-01-03,10,3.6,94,101.77,
2015-01-03,11,4.4,93,101.74,
2015-01-03,12,5.2,92,101.71,
2015-01-03,13,5.7,86,101.73,
2015-01-03,14,5.5,84,101.64,
2015-01-03,15,5.4,85,101.63,
2015-01-03,16,5.4,85,101.66,
2015-01-03,17,4.8,86,101.70,
2015-01-03,18,4.8,85,101.71,
2015-01-03,19,4.6,85,101.59,
2015-01-03,20,4.8,88,101.57,
2015-01-03,21,4.9,90,101.53,
2015-01-03,22,4.5,88,101.55,
2015-01-03,23,4.6,90,101.61,
2015-01-03,24,4.3,92,101.59,
2015-01-04,01,4.4,92,101.61,
2015-01-04,02,4.6,93,101.57,
2015-01-04,03,4.8,91,101.56,
2015-01-04,04,4.8,89,101.54,
2015-01-04,05,4.9,90,101.55,
2015-01-04,06,4.8,90,101.46,
2015-01-04,07,4.7,91,101.43,
2015-01-04,08,5.1,92,101.39,
2015-01-04,09,5.3,90,101.41,
2015-01-04,10,5.6,90,101.42,
2015-01-04,11,5.8,91,101.36,
2015-01-04,12,5.8,91,101.25,
2015-01-04,13,5.9,92,101.10,
2015-01-04,14,6.3,92,100.95,
2015-01-04,15,6.6,92,100.85,
2015-01-04,16,7.1,93,100.75,
2015-01-04,17,7.5,93,100.66,
2015-01-04,18,7.0,93,100.59,
2015-01-04,19,6.7,93,100.53,
2015-01-04,20,7.2,94,100.45,
2015-01-04,21,7.9,94,100.42,
2015-01-04,22,7.7,94,100.38,
2015-01-04,23,7.4,94,100.38,
2015-01-04,24,7.5,95,100.41,
2015-01-05,01,8.5,95,100.47,
2015-01-05,02,7.9,94,100.60,
2015-01-05,03,6.6,94,100.75,
2015-01-05,04,6.4,94,100.89,
2015-01-05,05,6.6,94,101.00,
2015-01-05,06,6.8,94,101.05,
2015-01-05,07,6.9,94,101.14,
2015-01-05,08,6.9,95,101.19,
2015-01-05,09,7.1,95,101.23,
2015-01-05,10,7.1,95,101.35,
2015-01-05,11,7.4,95,101.44,
2015-01-05,12,7.7,95,101.48,
2015-01-05,13,7.5,95,101.51,
2015-01-05,14,7.5,95,101.54,
2015-01-05,15,7.7,95,101.53,
2015-01-05,16,7.8,95,101.58,
2015-01-05,17,7.7,95,101.46,
2015-01-05,18,7.7,95,101.50,
2015-01-05,19,8.1,95,101.51,
2015-01-05,20,8.3,95,101.56,
2015-01-05,21,9.4,95,101.60,
2015-01-05,22,9.7,95,101.58,
2015-01-05,23,9.7,95,101.63,
2015-01-05,24,9.1,95,101.70,
2015-01-06,01,8.8,95,101.67,
2015-01-06,02,8.7,95,101.71,
2015-01-06,03,8.7,96,101.72,
2015-01-06,04,8.7,96,101.80,
2015-01-06,05,8.7,96,101.79,
2015-01-06,06,8.9,96,101.76,
2015-01-06,07,8.8,96,101.75,
2015-01-06,08,8.6,96,101.75,
2015-01-06,09,8.7,96,101.77,
2015-01-06,10,8.9,96,101.86,
2015-01-06,11,9.7,96,101.86,
2015-01-06,12,9.7,96,101.90,
2015-01-06,13,9.9,96,101.82,
2015-01-06,14,9.8,96,101.81,
2015-01-06,15,10.0,95,101.78,
2015-01-06,16,9.7,92,101.79,
2015-01-06,17,9.4,91,101.81,
2015-01-06,18,9.1,93,101.82,
2015-01-06,19,8.4,93,101.81,
2015-01-06,20,8.3,94,101.84,
2015-01-06,21,7.7,93,101.86,
2015-01-06,22,7.9,94,101.85,
2015-01-06,23,7.4,94,101.83,
2015-01-06,24,7.0,94,101.83,
2015-01-07,01,7.1,91,101.83,
2015-01-07,02,6.7,91,101.85,
2015-01-07,03,6.8,90,101.87,
2015-01-07,04,6.9,88,101.89,
2015-01-07,05,6.6,89,101.90,
2015-01-07,06,6.7,88,101.84,
2015-01-07,07,6.7,91,101.83,
2015-01-07,08,6.4,89,101.81,
2015-01-07,09,5.9,91,101.86,
2015-01-07,10,6.4,88,101.89,
2015-01-07,11,6.9,92,101.93,
2015-01-07,12,6.7,94,101.95,
2015-01-07,13,6.6,95,101.95,
2015-01-07,14,6.8,94,101.87,
2015-01-07,15,7.2,92,101.82,
2015-01-07,16,7.1,91,101.77,
2015-01-07,17,7.1,92,101.77,
2015-01-07,18,6.8,93,101.77,
2015-01-07,19,6.5,94,101.78,
2015-01-07,20,6.3,94,101.76,
2015-01-07,21,6.1,95,101.79,
2015-01-07,22,6.1,95,101.78,
2015-01-07,23,6.0,94,101.77,
2015-01-07,24,6.0,91,101.73,
2015-01-08,01,6.0,92,101.76,
2015-01-08,02,5.7,93,101.72,
2015-01-08,03,5.8,94,101.73,
2015-01-08,04,5.4,94,101.68,
2015-01-08,05,5.3,95,101.63,
2015-01-08,06,5.2,95,101.58,
2015-01-08,07,5.0,95,101.55,
2015-01-08,08,5.1,94,101.51,
2015-01-08,09,5.0,95,101.56,
2015-01-08,10,4.7,95,101.57,
2015-01-08,11,4.7,95,101.57,
